delta_aics (5547, 2)
scan progress 0 0.04
scan progress 100 4.04
scan progress 200 8.04
scan progress 300 12.04
scan progress 400 16.04
scan progress 500 20.04
scan progress 600 24.04
scan progress 700 28.04
scan progress 800 32.04
scan progress 900 36.04
scan progress 1000 40.04
scan progress 1100 44.04
scan progress 1200 48.04
scan progress 1300 52.04
scan progress 1400 56.04
scan progress 1500 60.04
scan progress 1600 64.04
scan progress 1700 68.04
scan progress 1800 72.04
scan progress 1900 76.04
scan progress 2000 80.04
scan progress 2100 84.04
scan progress 2200 88.04
scan progress 2300 92.04
scan progress 2400 96.04
scan progress 2500 100.04
scan progress 2600 104.04
scan progress 2700 108.04
scan progress 2800 112.04
scan progress 2900 116.04
scan progress 3000 118.4871655
scan progress 3100 119.479718
scan progress 3200 120.479718
scan progress 3300 123.909718
scan progress 3400 126.844847
scan progress 3500 130.844847
scan progress 3600 134.844847
scan progress 3700 138.844847
scan progress 3800 142.844847
scan progress 3900 146.844847
