uid,pop_key,focal_population,focal_population_label,reference_population,reference_population_label,statistic,chromosome,rank,epicenter,epicenter_seqid,epicenter_coord,focus_start,focus_start_seqid,focus_start_coord,focus_end,focus_end_seqid,focus_end_coord,peak_start,peak_start_seqid,peak_start_coord,peak_end,peak_end_seqid,peak_end_coord,delta_aic,delta_aic_left,delta_aic_right,min_flank_delta_aic,max_value,max_percentile,overlapping_genes,known_loci
XPEHH/BFS.UGS/2/1,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,2,1,90080000,2L,28534895,89900000,2L,28354895,90220000,2L,28674895,89097429,2L,27552324,90621322,2L,29076217,1933.494873046875,774.3876342773438,1367.3887939453125,774.3876342773438,5.912409290187934,0.9915322331417269,AGAP006212 AGAP028453 AGAP006214 AGAP006215 AGAP006216 AGAP006217 AGAP006218 AGAP006219 AGAP006220 AGAP006221 AGAP006222 AGAP006223 AGAP006224 AGAP006225 AGAP006226 AGAP006227 AGAP006228 AGAP006229 AGAP006231 AGAP006232 AGAP006233 AGAP006234 AGAP006235 AGAP006236 AGAP006237 AGAP006238 AGAP006239 AGAP006240 AGAP006241 AGAP006242 AGAP006243 AGAP029069 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006251 AGAP006252 AGAP006253 AGAP006254 AGAP006255 AGAP006256 AGAP028399,
H12/BFM/2/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,H12,2,1,64400000,2L,2854895,64020000,2L,2474895,64440000,2L,2894895,60660001,2R,60660001,64665105,2L,3120000,1800.369140625,1086.860107421875,619.791259765625,619.791259765625,0.8882587691661415,0.9994199535962877,AGAP004709 AGAP004710 AGAP004711 AGAP004712 AGAP004713 AGAP004714 AGAP004715 AGAP004716 AGAP004717 AGAP004718 AGAP004719 AGAP004720 AGAP004721 AGAP004722 AGAP004723 AGAP004724 AGAP004725 AGAP004726 AGAP004727 AGAP004728 AGAP004729 AGAP004730 AGAP004731,Vgsc
H12/BFS/2/1,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,2,1,63600000,2L,2054895,63000000,2L,1454895,64240000,2L,2694895,60100001,2R,60100001,65185105,2L,3640000,1776.3736572265625,946.7273559570312,857.7724609375,857.7724609375,1.0,0.9999553810458682,AGAP004693 AGAP004694 AGAP028434 AGAP028435 AGAP004695 AGAP004696 AGAP004698 AGAP004699 AGAP004700 AGAP004701 AGAP028436 AGAP004702 AGAP004703 AGAP004704 AGAP028437 AGAP004706 AGAP004707 AGAP004708 AGAP004709 AGAP004710 AGAP004711 AGAP004712 AGAP004713 AGAP004714 AGAP004715 AGAP004716 AGAP004717 AGAP004718,Vgsc
H12/GNS/2/1,GNS,GNS,Guinea *An. gambiae*,,,H12,2,1,63400000,2L,1854895,62840000,2L,1294895,64020000,2L,2474895,60580001,2R,60580001,65085105,2L,3540000,1685.43701171875,869.1989135742188,832.0846557617188,832.0846557617188,1.0,0.9998215241834731,AGAP004691 AGAP028433 AGAP004692 AGAP004693 AGAP004694 AGAP028434 AGAP028435 AGAP004695 AGAP004696 AGAP004698 AGAP004699 AGAP004700 AGAP004701 AGAP028436 AGAP004702 AGAP004703 AGAP004704 AGAP028437 AGAP004706 AGAP004707 AGAP004708,Vgsc
IHS/UGS/2/1,UGS,UGS,Uganda *An. gambiae*,,,IHS,2,1,28460000,2R,28460000,28280000,2R,28280000,28700000,2R,28700000,26656600,2R,26656600,29988392,2R,29988392,1661.858642578125,791.4654541015625,887.2271728515625,791.4654541015625,6.683009047429865,0.999788643088629,AGAP002846 AGAP013388 AGAP002847 AGAP002848 AGAP002849 AGAP002850 AGAP002851 AGAP002852 AGAP002853 AGAP002854 AGAP002855 AGAP002856 AGAP013529 AGAP013314 AGAP002857 AGAP002858 AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874 AGAP002875 AGAP013244 AGAP002876 AGAP002877 AGAP002878 AGAP002879 AGAP002880 AGAP002881 AGAP002883 AGAP013115 AGAP002884 AGAP002885,Cyp6p
H12/UGS/2/1,UGS,UGS,Uganda *An. gambiae*,,,H12,2,1,28480000,2R,28480000,28460000,2R,28460000,28500000,2R,28500000,28020001,2R,28020001,28900000,2R,28900000,1567.3641357421875,779.1138916015625,833.7835083007812,779.1138916015625,0.7077481383730795,0.9918779007497323,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868,Cyp6p
H12/CMS/3/1,CMS,CMS,Cameroon *An. gambiae*,,,H12,3,1,28600000,3R,28600000,28580000,3R,28580000,28620000,3R,28620000,28200001,3R,28200001,28900000,3R,28900000,1410.9056396484375,898.5628051757812,590.0762329101562,590.0762329101562,0.4847471074380165,1.0,AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
H12/UGS/2/2,UGS,UGS,Uganda *An. gambiae*,,,H12,2,2,64380000,2L,2834895,63360000,2L,1814895,64640000,2L,3094895,59980001,2R,59980001,65825105,2L,4280000,1377.707275390625,825.6497192382812,575.5603637695312,575.5603637695312,0.9616363464982562,1.0,AGAP004695 AGAP004696 AGAP004698 AGAP004699 AGAP004700 AGAP004701 AGAP028436 AGAP004702 AGAP004703 AGAP004704 AGAP028437 AGAP004706 AGAP004707 AGAP004708 AGAP004709 AGAP004710 AGAP004711 AGAP004712 AGAP004713 AGAP004714 AGAP004715 AGAP004716 AGAP004717 AGAP004718 AGAP004719 AGAP004720 AGAP004721 AGAP004722 AGAP004723 AGAP004724 AGAP004725 AGAP004726 AGAP004727 AGAP004728 AGAP004729 AGAP004730 AGAP004731 AGAP029113 AGAP004733 AGAP004735 AGAP004736 AGAP004737 AGAP004738 AGAP004739 AGAP004740 AGAP004741 AGAP004742 AGAP004743 AGAP004744 AGAP004745 AGAP004746 AGAP004747 AGAP004748 AGAP004749 AGAP004750 AGAP004751 AGAP004752 AGAP004753 AGAP004754 AGAP004755 AGAP004756 AGAP013546 AGAP004757 AGAP004758 AGAP004759 AGAP004760,Vgsc
XPEHH/CMS.GWA/3/1,CMS.GWA,CMS,Cameroon *An. gambiae*,GWA,Guinea Bissau,XPEHH,3,1,28640000,3R,28640000,28600000,3R,28600000,28700000,3R,28700000,28116067,3R,28116067,28897416,3R,28897416,1275.8685302734375,747.1087646484375,552.7293701171875,552.7293701171875,13.88852043074729,1.0,AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200 AGAP009201 AGAP009202 AGAP028058 AGAP009203 AGAP009204 AGAP009205 AGAP009206 AGAP009207,Gste
H12/BFM/X/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,H12,X,1,15200000,X,15200000,15100000,X,15100000,15300000,X,15300000,14720001,X,14720001,15980000,X,15980000,1267.7972412109375,671.968017578125,615.0950927734375,615.0950927734375,0.9259641873278238,0.9999553810458682,AGAP012997 AGAP000818 AGAP000819 AGAP000820,Cyp9k1
