delta_aics (1220, 2)
scan progress 0 0.04
scan progress 1 0.08
scan progress 2 0.12
scan progress 3 0.16
scan progress 4 0.2
scan progress 5 0.24
scan progress 6 0.28
scan progress 7 0.32
scan progress 8 0.36
scan progress 9 0.4
scan progress 10 0.44
scan progress 11 0.48
scan progress 12 0.52
scan progress 13 0.56
scan progress 14 0.6
scan progress 15 0.64
scan progress 16 0.68
scan progress 17 0.72
scan progress 18 0.76
scan progress 19 0.8
scan progress 20 0.84
scan progress 21 0.88
scan progress 22 0.92
scan progress 23 0.96
scan progress 24 1.0
scan progress 25 1.04
scan progress 26 1.08
scan progress 27 1.12
scan progress 28 1.16
scan progress 29 1.2
scan progress 30 1.24
scan progress 31 1.28
scan progress 32 1.32
scan progress 33 1.36
scan progress 34 1.4
scan progress 35 1.44
scan progress 36 1.48
scan progress 37 1.52
scan progress 38 1.56
scan progress 39 1.6
scan progress 40 1.64
scan progress 41 1.68
scan progress 42 1.72
scan progress 43 1.76
scan progress 44 1.8
scan progress 45 1.84
scan progress 46 1.88
scan progress 47 1.92
scan progress 48 1.96
scan progress 49 2.0
scan progress 50 2.04
scan progress 51 2.08
scan progress 52 2.12
scan progress 53 2.16
scan progress 54 2.2
scan progress 55 2.24
scan progress 56 2.28
scan progress 57 2.32
scan progress 58 2.36
scan progress 59 2.4
scan progress 60 2.44
scan progress 61 2.48
scan progress 62 2.52
scan progress 63 2.56
scan progress 64 2.6
scan progress 65 2.64
scan progress 66 2.68
scan progress 67 2.72
scan progress 68 2.76
scan progress 69 2.8
scan progress 70 2.84
scan progress 71 2.88
scan progress 72 2.92
scan progress 73 2.96
scan progress 74 3.0
scan progress 75 3.04
scan progress 76 3.08
scan progress 77 3.12
scan progress 78 3.16
scan progress 79 3.2
scan progress 80 3.24
scan progress 81 3.28
scan progress 82 3.32
scan progress 83 3.36
scan progress 84 3.4
scan progress 85 3.44
scan progress 86 3.48
scan progress 87 3.52
scan progress 88 3.56
scan progress 89 3.6
scan progress 90 3.64
scan progress 91 3.68
scan progress 92 3.72
scan progress 93 3.76
scan progress 94 3.8
scan progress 95 3.84
scan progress 96 3.88
scan progress 97 3.92
scan progress 98 3.96
scan progress 99 4.0
scan progress 100 4.04
scan progress 101 4.08
scan progress 102 4.12
scan progress 103 4.16
scan progress 104 4.2
scan progress 105 4.24
scan progress 106 4.28
scan progress 107 4.32
scan progress 108 4.36
scan progress 109 4.4
scan progress 110 4.44
scan progress 111 4.48
scan progress 112 4.52
scan progress 113 4.56
scan progress 114 4.6
scan progress 115 4.64
scan progress 116 4.68
scan progress 117 4.72
scan progress 118 4.76
scan progress 119 4.8
scan progress 120 4.84
scan progress 121 4.88
scan progress 122 4.92
scan progress 123 4.96
scan progress 124 5.0
scan progress 125 5.04
scan progress 126 5.08
scan progress 127 5.12
scan progress 128 5.16
scan progress 129 5.2
scan progress 130 5.24
scan progress 131 5.28
scan progress 132 5.32
scan progress 133 5.36
scan progress 134 5.4
scan progress 135 5.44
scan progress 136 5.48
scan progress 137 5.52
scan progress 138 5.56
scan progress 139 5.6
scan progress 140 5.64
scan progress 141 5.68
scan progress 142 5.72
scan progress 143 5.76
scan progress 144 5.8
scan progress 145 5.84
scan progress 146 5.88
scan progress 147 5.92
scan progress 148 5.96
scan progress 149 6.0
scan progress 150 6.04
scan progress 151 6.08
scan progress 152 6.12
scan progress 153 6.16
scan progress 154 6.2
scan progress 155 6.24
scan progress 156 6.28
scan progress 157 6.32
scan progress 158 6.36
scan progress 159 6.4
scan progress 160 6.44
scan progress 161 6.48
scan progress 162 6.52
scan progress 163 6.56
scan progress 164 6.6
scan progress 165 6.64
scan progress 166 6.68
scan progress 167 6.72
scan progress 168 6.76
scan progress 169 6.8
scan progress 170 6.84
scan progress 171 6.88
scan progress 172 6.92
scan progress 173 6.96
scan progress 174 7.0
scan progress 175 7.04
scan progress 176 7.08
scan progress 177 7.12
scan progress 178 7.16
scan progress 179 7.2
scan progress 180 7.24
scan progress 181 7.28
scan progress 182 7.32
scan progress 183 7.36
scan progress 184 7.4
scan progress 185 7.44
scan progress 186 7.48
scan progress 187 7.52
scan progress 188 7.56
scan progress 189 7.6
scan progress 190 7.64
scan progress 191 7.68
scan progress 192 7.72
scan progress 193 7.76
scan progress 194 7.8
scan progress 195 7.84
scan progress 196 7.88
scan progress 197 7.92
scan progress 198 7.96
scan progress 199 8.0
scan progress 200 8.04
scan progress 201 8.08
scan progress 202 8.12
scan progress 203 8.16
scan progress 204 8.2
scan progress 205 8.24
scan progress 206 8.28
scan progress 207 8.32
scan progress 208 8.36
scan progress 209 8.4
scan progress 210 8.44
scan progress 211 8.48
scan progress 212 8.52
scan progress 213 8.56
scan progress 214 8.6
scan progress 215 8.64
scan progress 216 8.68
scan progress 217 8.72
scan progress 218 8.76
scan progress 219 8.8
scan progress 220 8.84
scan progress 221 8.88
scan progress 222 8.92
scan progress 223 8.96
scan progress 224 9.0
scan progress 225 9.04
scan progress 226 9.08
scan progress 227 9.12
scan progress 228 9.16
scan progress 229 9.2
scan progress 230 9.24
scan progress 231 9.28
scan progress 232 9.32
scan progress 233 9.36
scan progress 234 9.4
scan progress 235 9.44
scan progress 236 9.48
scan progress 237 9.52
scan progress 238 9.56
scan progress 239 9.6
scan progress 240 9.64
scan progress 241 9.68
scan progress 242 9.72
scan progress 243 9.76
scan progress 244 9.8
scan progress 245 9.84
scan progress 246 9.88
scan progress 247 9.92
scan progress 248 9.96
scan progress 249 10.0
scan progress 250 10.04
scan progress 251 10.08
scan progress 252 10.12
scan progress 253 10.16
scan progress 254 10.2
scan progress 255 10.24
scan progress 256 10.28
