delta_aics (5547, 2)
scan progress 0 0.04
scan progress 100 4.04
scan progress 200 8.04
scan progress 300 12.04
scan progress 400 16.04
scan progress 500 20.04
scan progress 600 24.04
scan progress 700 28.04
scan progress 800 32.04
scan progress 900 36.04
scan progress 1000 40.04
scan progress 1100 44.04
scan progress 1200 48.04
scan progress 1300 52.04
scan progress 1400 56.04
scan progress 1500 60.04
scan progress 1600 64.04
scan progress 1700 68.04
scan progress 1800 72.04
scan progress 1900 76.04
scan progress 2000 80.04
scan progress 2100 84.04
scan progress 2200 88.04
scan progress 2300 92.04
scan progress 2400 96.04
scan progress 2500 100.04
scan progress 2600 104.04
scan progress 2700 108.04
scan progress 2800 112.04
scan progress 2900 116.04
scan progress 3000 118.4871655
scan progress 3100 119.479718
scan progress 3200 120.479718
scan progress 3300 123.909718
scan progress 3400 126.844847
scan progress 3500 130.844847
scan progress 3600 134.844847
scan progress 3700 138.844847
scan progress 3800 142.844847
scan progress 3900 146.844847
scan progress 4000 150.844847
scan progress 4100 154.844847
scan progress 4200 158.844847
scan progress 4300 162.844847
scan progress 4400 166.844847
scan progress 4500 170.844847
scan progress 4600 174.844847
scan progress 4700 178.844847
scan progress 4800 182.844847
scan progress 4900 186.844847
scan progress 5000 190.844847
scan progress 5100 194.844847
scan progress 5200 198.844847
scan progress 5300 202.844847
scan progress 5400 206.844847
scan progress 5500 210.844847
first pass 3219 599.334757453193
********************************************************************************
Iteration 1
Peak index: 3219
Delta AIC: [ 800.51573268  599.33475745]
Window: 64365106 64385105
********************************************************************************
find extent of region under selection
extend hit left 1370.38715286
extend hit left 1368.0955751
extend hit left 1396.41606206
extend hit left 1392.34752243
extend hit left 1382.4586922
extend hit left 1375.01696711
extend hit left 1385.65951152
extend hit left 1382.87788082
extend hit left 1359.39119851
extend hit left 1362.93932371
extend hit left 1368.16621669
extend hit left 1364.85785817
extend hit left 1362.81051675
extend hit left 1356.87602012
extend hit left 1331.67741785
extend hit right 1380.27053927
extend hit right 1348.22874806
find flanking region
rescan 2716 3546
scan progress 2800 112.04
scan progress 2900 116.04
scan progress 3000 118.4871655
scan progress 3100 119.479718
scan progress 3200 120.479718
